timestamp,close,high,low,trade_count,open,volume,vwap
2023-01-04 09:00:00+00:00,382.38,382.51,382.09,200,382.5,16831,382.392189
2023-01-04 09:15:00+00:00,382.18,382.5,382.15,95,382.19,8843,382.323412
2023-01-04 09:30:00+00:00,382.29,382.42,382.0,61,382.04,4778,382.272464
2023-01-04 09:45:00+00:00,382.38,382.62,382.29,54,382.32,4551,382.461315
2023-01-04 10:00:00+00:00,382.86,382.87,382.38,48,382.38,3775,382.725813
2023-01-04 10:15:00+00:00,382.73,382.76,382.43,34,382.76,2617,382.573574
2023-01-04 10:30:00+00:00,381.87,382.69,381.87,42,382.69,3141,382.332173
2023-01-04 10:45:00+00:00,382.08,382.2,381.97,42,381.97,4336,382.08463
2023-01-04 11:00:00+00:00,382.69,382.69,382.26,39,382.3,2973,382.436849
2023-01-04 11:15:00+00:00,382.55,382.57,382.52,27,382.56,1587,382.54381
2023-01-04 11:30:00+00:00,382.6,382.81,382.4,48,382.57,7178,382.618315
2023-01-04 11:45:00+00:00,382.38,382.79,382.38,62,382.64,11715,382.695087
2023-01-04 12:00:00+00:00,382.27,382.39,381.92,464,382.28,56219,382.119756
2023-01-04 12:15:00+00:00,381.88,382.22,381.78,466,382.22,77096,382.001402
2023-01-04 12:30:00+00:00,382.0,382.19,381.78,905,381.89,145805,381.994852
2023-01-04 12:45:00+00:00,381.84,382.01,381.4,767,382.01,140842,381.685345
2023-01-04 13:00:00+00:00,382.35,383.08,381.3,1233,382.17,109033,382.110064
2023-01-04 13:15:00+00:00,382.96,383.25,382.26,1292,382.34,172629,382.956192
2023-01-04 13:30:00+00:00,383.13,383.18,382.8,1007,383.0,130904,382.961319
2023-01-04 13:45:00+00:00,382.92,383.28,382.69,1025,383.17,125532,382.966929
2023-01-04 14:00:00+00:00,382.56,382.98,382.48,1407,382.97,235104,382.678048
2023-01-04 14:15:00+00:00,383.18,383.27,382.31,1422,382.56,178305,382.720432
2023-01-04 14:30:00+00:00,382.6,384.17,381.9,37357,383.18,4100501,383.112177
2023-01-04 14:45:00+00:00,383.23,383.29,382.1606,23975,382.63,2447168,382.794966
2023-01-04 15:00:00+00:00,380.96,384.27,380.0,49768,383.16,5750104,381.81774
2023-01-04 15:15:00+00:00,381.65,381.67,380.58,20183,380.97,2164024,381.160804
2023-01-04 15:30:00+00:00,382.17,382.285,380.86,17364,381.66,2085506,381.447696
2023-01-04 15:45:00+00:00,382.975,382.975,382.145,21164,382.145,2506324,382.634262
2023-01-04 16:00:00+00:00,383.45,383.47,382.311,19780,382.97,2001982,382.892532
2023-01-04 16:15:00+00:00,383.581,383.69,383.1,17475,383.45,1816933,383.343238
2023-01-04 16:30:00+00:00,385.3,385.43,383.6,29400,383.6,3426505,384.868214
2023-01-04 16:45:00+00:00,385.48,385.88,384.99,19750,385.3199,2318877,385.449664
2023-01-04 17:00:00+00:00,385.13,385.645,385.08,16141,385.5,1721081,385.336275
2023-01-04 17:15:00+00:00,385.195,385.6299,385.12,12694,385.17,1301193,385.357593
2023-01-04 17:30:00+00:00,385.683,385.74,385.1975,10162,385.2,865614,385.529972
2023-01-04 17:45:00+00:00,384.34,385.705,384.33,15913,385.68,1604510,384.974063
2023-01-04 18:00:00+00:00,384.5502,384.56,383.65,19597,384.35,2185334,384.14828
2023-01-04 18:15:00+00:00,384.83,385.1,384.49,12801,384.555,1349190,384.91743
2023-01-04 18:30:00+00:00,385.0,385.33,384.81,11140,384.83,1078971,385.056646
2023-01-04 18:45:00+00:00,384.14,385.05,383.95,12788,384.99,1221528,384.643629
2023-01-04 19:00:00+00:00,383.4979,385.56,382.3,49145,384.26,5801210,383.735883
2023-01-04 19:15:00+00:00,381.49,384.68,381.2,31177,383.49,3642084,382.969048
2023-01-04 19:30:00+00:00,382.1,382.75,381.14,28787,381.5,3275495,381.837483
2023-01-04 19:45:00+00:00,383.2301,383.35,381.7,20479,382.085,2440398,382.489086
2023-01-04 20:00:00+00:00,383.4,384.08,382.98,17692,383.26,2159473,383.470756
2023-01-04 20:15:00+00:00,382.765,383.77,382.62,19700,383.39,2414809,383.145354
2023-01-04 20:30:00+00:00,381.4,382.8911,381.25,27520,382.76,3917733,381.921827
2023-01-04 20:45:00+00:00,383.74,383.99,381.2163,49693,381.4,9600596,382.929235
2023-01-04 21:00:00+00:00,383.6,383.95,383.32,4942,383.73,10058244,383.736311
2023-01-04 21:15:00+00:00,383.42,383.76,383.38,1153,383.6,210186,383.590048
