,symbol,entry_date,exit_date,entry_price,exit_price,strike,dte,days_held,size,pnl,return,regime,regime_strength
0,NVDA,2023-02-10 09:00:00,2023-02-10 13:00:00,0.18905214196904974,21.87,21.88,14,0.16666666666666666,13802.380952380952,-168.17590756930443,-0.012184557733156437,bear_high_vol,-0.48412698412698413
1,NVDA,2023-02-10 15:00:00,2023-02-13 12:00:00,0.17732004086965586,21.53,21.43,14,2.875,13175.0,648.7402497985062,0.04924024666402324,bear_high_vol,-0.4166666666666667
2,NVDA,2023-03-08 12:00:00,2023-03-08 14:00:00,0.1592233486334914,23.74,23.42,14,0.08333333333333333,13580.95238095238,3156.528386317614,0.2324231981510165,bear_high_vol,-0.4603174603174603
3,NVDA,2023-03-09 20:00:00,2023-03-10 13:00:00,0.16643236420048027,23.57,23.53,14,0.7083333333333334,14245.238095238094,261.40027447664204,0.018350010910945957,bear_high_vol,-0.5317460317460317
4,NVDA,2023-03-10 14:00:00,2023-03-14 13:00:00,0.13844508188245258,23.79,23.08,7,3.9583333333333335,12141.666666666666,6170.230721560269,0.508186469860832,bear_high_vol,-0.8650793650793651
5,NVDA,2023-04-05 16:00:00,2023-04-05 23:00:00,0.15862087940347358,26.71,26.6,14,0.2916666666666667,13175.0,827.621191964372,0.06281754777718193,bear_high_vol,-0.4166666666666667
6,NVDA,2023-04-12 13:00:00,2023-04-13 13:00:00,0.1353624098276603,26.53,26.79,7,1.0,11676.666666666666,-926.150367284854,-0.0793163317686144,bear_high_vol,-0.7936507936507936
7,NVDA,2023-04-14 16:00:00,2023-04-17 10:00:00,0.15694735735348236,26.58,26.47,14,2.75,15573.809523809525,752.4175279941845,0.04831300439650779,bear_high_vol,-0.6746031746031746
8,NVDA,2023-04-21 08:00:00,2023-04-21 16:00:00,0.1340040260638391,27.03,27.14,14,0.3333333333333333,13027.380952380952,-177.15818877389165,-0.013598910588510371,bear_high_vol,-0.4007936507936508
9,NVDA,2023-04-24 15:00:00,2023-04-25 13:00:00,0.11125075798967911,26.79,26.78,7,0.9166666666666666,12193.333333333334,-32.34748277308781,-0.002652882676852472,bear_high_vol,-0.873015873015873
10,NVDA,2023-04-25 16:00:00,2023-04-26 12:00:00,0.10409587994780818,26.91,26.51,7,0.8333333333333334,11547.5,3239.76408720671,0.28055978239503876,bear_high_vol,-0.7738095238095238
11,NVDA,2023-05-03 13:00:00,2023-05-05 13:00:00,0.15014026576099937,28.07,27.76,14,2.0,14171.42857142857,2552.9141663565547,0.18014515286790206,bear_high_vol,-0.5238095238095238
12,NVDA,2023-05-11 14:00:00,2023-05-12 12:00:00,0.13279896025886126,28.53,28.47,7,0.9166666666666666,12503.333333333332,37.79081016748978,0.003022458824379348,bear_high_vol,-0.9206349206349206
13,NVDA,2023-05-12 16:00:00,2023-05-15 11:00:00,0.1133642063836085,28.41,28.21,7,2.7916666666666665,11185.833333333334,956.3416305550768,0.08549578757849155,bear_high_vol,-0.7182539682539683
14,NVDA,2023-05-31 16:00:00,2023-06-01 13:00:00,0.21901940490517086,39.12,38.32,7,0.875,11728.333333333334,6728.329616198945,0.573681649810909,bear_high_vol,-0.8015873015873016
15,NVDA,2023-06-07 16:00:00,2023-06-08 13:00:00,0.30628413958470235,38.23,38.4,14,0.875,15499.999999999998,-900.4305930542737,-0.05809229632608218,bear_high_vol,-0.6666666666666666
16,NVDA,2023-06-21 14:00:00,2023-06-22 13:00:00,0.28692376405593234,42.86,42.39,14,0.9583333333333334,14134.52380952381,4620.739298239154,0.32691156493901197,bear_high_vol,-0.5198412698412699
17,NVDA,2023-06-26 15:00:00,2023-06-27 10:00:00,0.2228934662590298,40.94,41.35,7,0.7916666666666666,11960.833333333334,-1335.7554862032375,-0.11167746000445099,bear_high_vol,-0.8373015873015873
18,NVDA,2023-06-27 12:00:00,2023-06-27 13:00:00,0.25079261200325365,40.98,40.95,7,0.041666666666666664,12839.166666666668,510.1057839310466,0.03973044335154513,bear_high_vol,-0.9722222222222222
19,NVDA,2023-07-06 13:00:00,2023-07-06 23:00:00,0.2838141083094627,42.1,41.71,14,0.4166666666666667,15389.285714285714,2795.079979282863,0.18162506247370658,bear_high_vol,-0.6547619047619048
20,NVDA,2023-07-20 22:00:00,2023-07-21 12:00:00,0.29524627102941675,45.87,45.11,14,0.5833333333333334,15721.42857142857,8458.773339695772,0.5380410120660646,bear_high_vol,-0.6904761904761905
